Date,Open,High,Low,Close,Volume
17-Jul-17,957,960.74,949.24,953.42,1165537
14-Jul-17,952,956.91,948,955.99,1053774
13-Jul-17,946.29,954.45,943.01,947.16,1294687
12-Jul-17,938.68,946.3,934.47,943.83,1532144
11-Jul-17,929.54,931.43,922,930.09,1113235
10-Jul-17,921.77,930.38,919.59,928.8,1192825
07-Jul-17,908.85,921.54,908.85,918.59,1637785
06-Jul-17,904.12,914.94,899.7,906.69,1424503
05-Jul-17,901.76,914.51,898.5,911.71,1813884
03-Jul-17,912.18,913.94,894.79,898.7,1710373
30-Jun-17,926.05,926.05,908.31,908.73,2090226
29-Jun-17,929.92,931.26,910.62,917.79,3299176
28-Jun-17,929,942.75,916,940.49,2721406
27-Jun-17,942.46,948.29,926.85,927.33,2579930
26-Jun-17,969.9,973.31,950.79,952.27,1598355
23-Jun-17,956.83,966,954.2,965.59,1527856
22-Jun-17,958.7,960.72,954.55,957.09,941958
21-Jun-17,953.64,960.1,950.76,959.45,1202233
20-Jun-17,957.52,961.62,950.01,950.63,1125990
19-Jun-17,949.96,959.99,949.05,957.37,1533336
16-Jun-17,940,942.04,931.6,939.78,3094711
15-Jun-17,933.97,943.34,924.44,942.31,2133050
14-Jun-17,959.92,961.15,942.25,950.76,1489715
13-Jun-17,951.91,959.98,944.09,953.4,2013337
12-Jun-17,939.56,949.36,915.23,942.9,3763529
09-Jun-17,984.5,984.5,935.63,949.83,3309389
08-Jun-17,982.35,984.57,977.2,983.41,1481916
07-Jun-17,979.65,984.15,975.77,981.08,1453874
06-Jun-17,983.16,988.25,975.14,976.57,1814624
05-Jun-17,976.55,986.91,975.1,983.68,1252106
02-Jun-17,969.46,975.88,966,975.6,1750955
01-Jun-17,968.95,971.5,960.01,966.95,1410458
31-May-17,975.02,979.27,960.18,964.86,2448067
30-May-17,970.31,976.2,969.49,975.88,1466654
26-May-17,969.7,974.98,965.03,971.47,1252010
25-May-17,957.33,972.63,955.47,969.54,1660474
24-May-17,952.98,955.09,949.5,954.96,1034199
23-May-17,947.92,951.47,942.58,948.82,1270817
22-May-17,935,941.88,935,941.86,1120385
19-May-17,931.47,937.76,931,934.01,1393024
18-May-17,921,933.17,918.75,930.24,1596897
17-May-17,935.67,939.33,918.14,919.62,2362072
16-May-17,940,943.11,937.58,943,969479
15-May-17,932.95,938.25,929.34,937.08,1108496
12-May-17,931.53,933.44,927.85,932.22,1050601
11-May-17,925.32,932.53,923.03,930.6,835386
10-May-17,931.98,932,925.16,928.78,1173925
09-May-17,936.95,937.5,929.53,932.17,1581809
08-May-17,926.12,936.92,925.26,934.3,1329825
05-May-17,933.54,934.9,925.2,927.13,1911275
04-May-17,926.07,935.93,924.59,931.66,1422144
03-May-17,914.86,928.1,912.54,927.04,1499532
02-May-17,909.62,920.77,909.45,916.44,1587219
01-May-17,901.94,915.68,901.45,912.57,2115993
28-Apr-17,910.66,916.85,905.77,905.96,3276255
27-Apr-17,873.6,875.4,870.38,874.25,2026816
26-Apr-17,874.23,876.05,867.75,871.73,1237167
25-Apr-17,865,875,862.81,872.3,1671972
24-Apr-17,851.2,863.45,849.86,862.76,1372541
21-Apr-17,842.88,843.88,840.6,843.19,1323583
20-Apr-17,841.44,845.2,839.32,841.65,959031
19-Apr-17,839.79,842.22,836.29,838.21,954330
18-Apr-17,834.22,838.93,832.71,836.82,836722
17-Apr-17,825.01,837.75,824.47,837.17,895015
13-Apr-17,822.14,826.38,821.44,823.56,1122362
12-Apr-17,821.93,826.66,821.02,824.32,900480
11-Apr-17,824.71,827.43,817.02,823.35,1079732
10-Apr-17,825.39,829.35,823.77,824.73,978905
07-Apr-17,827.96,828.48,820.51,824.67,1057253
06-Apr-17,832.4,836.39,826.46,827.88,1254433
05-Apr-17,835.51,842.45,830.72,831.41,1555328
04-Apr-17,831.36,835.18,829.04,834.57,1045363
03-Apr-17,829.22,840.85,829.22,838.55,1671503
31-Mar-17,828.97,831.64,827.39,829.56,1401893
30-Mar-17,833.5,833.68,829,831.5,1055339
29-Mar-17,825,832.76,822.38,831.41,1786321
28-Mar-17,820.41,825.99,814.03,820.92,1620542
27-Mar-17,806.95,821.63,803.37,819.51,1894990
24-Mar-17,820.08,821.93,808.89,814.43,1981006
23-Mar-17,821,822.57,812.26,817.58,3487056
22-Mar-17,831.91,835.55,827.18,829.59,1401465
21-Mar-17,851.4,853.5,829.02,830.46,2463484
20-Mar-17,850.01,850.22,845.15,848.4,1231521
17-Mar-17,851.61,853.4,847.11,852.12,1716471
16-Mar-17,849.03,850.85,846.13,848.78,977560
15-Mar-17,847.59,848.63,840.77,847.2,1381474
14-Mar-17,843.64,847.24,840.8,845.62,780198
13-Mar-17,844,848.68,843.25,845.54,1223647
10-Mar-17,843.28,844.91,839.5,843.25,1704024
09-Mar-17,836,842,834.21,838.68,1261517
08-Mar-17,833.51,838.15,831.79,835.37,989773
07-Mar-17,827.4,833.41,826.52,831.91,1037630
06-Mar-17,826.95,828.88,822.4,827.78,1109037
03-Mar-17,830.56,831.36,825.75,829.08,896378
02-Mar-17,833.85,834.51,829.64,830.63,942476
01-Mar-17,828.85,836.26,827.26,835.24,1496540
28-Feb-17,825.61,828.54,820.2,823.21,2260769
27-Feb-17,824.55,830.5,824,829.28,1101466
24-Feb-17,827.73,829,824.2,828.64,1392202
23-Feb-17,830.12,832.46,822.88,831.33,1472771
22-Feb-17,828.66,833.25,828.64,830.76,987248
21-Feb-17,828.66,833.45,828.35,831.66,1262337
17-Feb-17,823.02,828.07,821.66,828.07,1611039
16-Feb-17,819.93,824.4,818.98,824.16,1287626
15-Feb-17,819.36,823,818.47,818.98,1313617
14-Feb-17,819,823,816,820.45,1054732
13-Feb-17,816,820.96,815.49,819.24,1213324
10-Feb-17,811.7,815.25,809.78,813.67,1134976
09-Feb-17,809.51,810.66,804.54,809.56,990391
08-Feb-17,807,811.84,803.19,808.38,1155990
07-Feb-17,803.99,810.5,801.78,806.97,1241221
06-Feb-17,799.7,801.67,795.25,801.34,1184483
03-Feb-17,802.99,806,800.37,801.49,1463448
02-Feb-17,793.8,802.7,792,798.53,1532138
01-Feb-17,799.68,801.19,791.19,795.7,2029744
31-Jan-17,796.86,801.25,790.52,796.79,2160556
30-Jan-17,814.66,815.84,799.8,802.32,3246573
27-Jan-17,834.71,841.95,820.44,823.31,2965771
26-Jan-17,837.81,838,827.01,832.15,2973891
25-Jan-17,829.62,835.77,825.06,835.67,1627304
24-Jan-17,822.3,825.9,817.82,823.87,1474010
23-Jan-17,807.25,820.87,803.74,819.31,1963628
20-Jan-17,806.91,806.91,801.69,805.02,1670045
19-Jan-17,805.12,809.48,801.8,802.18,919325
18-Jan-17,805.81,806.2,800.99,806.07,1294407
17-Jan-17,807.08,807.14,800.37,804.61,1362115
13-Jan-17,807.48,811.22,806.69,807.88,1099215
12-Jan-17,807.14,807.39,799.17,806.36,1353057
11-Jan-17,805,808.15,801.37,807.91,1065936
10-Jan-17,807.86,809.13,803.51,804.79,1176780
09-Jan-17,806.4,809.97,802.83,806.65,1274645
06-Jan-17,795.26,807.9,792.2,806.15,1640170
05-Jan-17,786.08,794.48,785.02,794.02,1335167
04-Jan-17,788.36,791.34,783.16,786.9,1072958
03-Jan-17,778.81,789.63,775.8,786.14,1657268
